epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,8316.69,0.4757,0.36098,0.87447,0.92833,0.67943,0.767,0.64027,0.51629,0.43242,0.90389,0.00020707,0.00020707,0.00020707
80,8412.58,0.46359,0.35184,0.86738,0.93389,0.70646,0.78255,0.65456,0.50879,0.44023,0.89078,0.000198071,0.000198071,0.000198071
81,8506.02,0.47035,0.35144,0.87225,0.8851,0.72178,0.78763,0.65417,0.51932,0.45341,0.89357,0.000189072,0.000189072,0.000189072
82,8598.04,0.45495,0.33835,0.86708,0.93384,0.70178,0.78683,0.65652,0.50755,0.42843,0.88933,0.000180073,0.000180073,0.000180073
83,8689.25,0.45601,0.33857,0.86466,0.92258,0.71196,0.78537,0.65781,0.50948,0.41904,0.89314,0.000171074,0.000171074,0.000171074
84,8785.82,0.44871,0.33148,0.86491,0.91042,0.71419,0.78849,0.65377,0.50841,0.43647,0.89035,0.000162075,0.000162075,0.000162075
85,8880.19,0.45185,0.33821,0.86645,0.92863,0.70022,0.78054,0.65226,0.50962,0.42454,0.89251,0.000153076,0.000153076,0.000153076
86,8971.61,0.44906,0.33431,0.86256,0.90515,0.70951,0.78464,0.65613,0.5035,0.42563,0.89125,0.000144077,0.000144077,0.000144077
87,9065.54,0.45238,0.33662,0.86733,0.90517,0.70954,0.7816,0.65551,0.49864,0.43184,0.88677,0.000135077,0.000135077,0.000135077
88,9163.72,0.44773,0.3326,0.86343,0.91763,0.71791,0.78943,0.66087,0.50121,0.42305,0.88959,0.000126078,0.000126078,0.000126078
89,9257.56,0.44687,0.33243,0.86044,0.94279,0.69384,0.78838,0.66244,0.4926,0.41571,0.88501,0.000117079,0.000117079,0.000117079
90,9349.15,0.43391,0.32361,0.86232,0.94457,0.69567,0.7855,0.66656,0.48726,0.41436,0.8817,0.00010808,0.00010808,0.00010808
91,9482.98,0.38044,0.27432,0.81052,0.92087,0.70389,0.78821,0.65526,0.49657,0.41789,0.88194,9.9081e-05,9.9081e-05,9.9081e-05
92,9571.65,0.37079,0.26397,0.81045,0.92835,0.69361,0.78464,0.65746,0.50037,0.42408,0.89269,9.00819e-05,9.00819e-05,9.00819e-05
93,9661.57,0.37128,0.26318,0.80848,0.91933,0.70065,0.78344,0.66032,0.49664,0.41454,0.89232,8.10828e-05,8.10828e-05,8.10828e-05
94,9750.58,0.36893,0.2635,0.8066,0.94083,0.6945,0.78818,0.66049,0.49705,0.42303,0.89189,7.20837e-05,7.20837e-05,7.20837e-05
95,9839.82,0.3631,0.25904,0.81482,0.90079,0.72229,0.78806,0.6645,0.49308,0.41715,0.88974,6.30846e-05,6.30846e-05,6.30846e-05
96,9932.52,0.3637,0.25431,0.80643,0.90772,0.71383,0.78681,0.66508,0.49297,0.4244,0.893,5.40855e-05,5.40855e-05,5.40855e-05
97,10030.5,0.35711,0.25462,0.80379,0.92708,0.70139,0.785,0.66212,0.49314,0.42243,0.88658,4.50864e-05,4.50864e-05,4.50864e-05
98,10127.4,0.35247,0.24686,0.81184,0.89144,0.72484,0.78847,0.66385,0.4928,0.42061,0.88927,3.60873e-05,3.60873e-05,3.60873e-05
99,10225.8,0.35063,0.24785,0.80554,0.88541,0.72772,0.78433,0.66202,0.48735,0.41411,0.88725,2.70882e-05,2.70882e-05,2.70882e-05
100,10322.7,0.35614,0.24813,0.80206,0.89029,0.72374,0.78625,0.66312,0.48815,0.41677,0.88627,1.80891e-05,1.80891e-05,1.80891e-05
